place,reviews
Lal Tibba,The best time to visit this attraction is early morning around 7 am before the tourists start arriving and destroy the peace and tranquility. In recent years lot of illegal construction has taken place in the area which spoil the natural beauty of the place. The valley view is…
Lal Tibba,"Disappointing, considering the hype around it. Clogged traffic and when u finally get there its just a hill top with view across. Wasn’t worth the time and energy"
Lal Tibba,Nice location since it was clear sky we could enjoy Himalayan views There is a photographer there who takes money and tell he will deliver photos at hotel. He never come and absolute cheat Beware
Lal Tibba,Owasm place during the ⛅ sunrise & sunset. A coffee shop is available. The masala tea is very good. It's highest pick of moossurie. The view of Himalayas is owsam.
Lal Tibba,Its just a 2 Story structure with a old age binocular.....which is so dull that u cant see anything.... 50/- per person charge.... Most useless spot ever been to....
Lal Tibba,"We went here for breakfast. However, the weather was bad on the day and hence clouds spoiled our party. However, the vibe and the limited views were amazing. There's a rooftop cafe which serves snacks and hot beverages. Do try that at a minimal cost. Please note that the road to…"
Lal Tibba,"I went there in 1993 and it was too good to visit as there was no commercialization and crowd there, But this time I went by my own car and it was hell to go there by own vehicle. Just 1 vehicle can pass and due to this you may face jams ranging from few minutes to hours.…"
Lal Tibba,"Since my last visit, Lal Tibba continues to be a must visit place for me. I would recommend walking though the road is well maintained to take your car. Once you reach the peak, it gives an amazing view of the Himalayas. not much in terms of eateries but you wil surely get…"
Lal Tibba,If the weather is clear....the view is truly breathtaking. The cafe provides lovely coffee by Rohit....was a pleasure the coffee after viewing the sunrise at 07:00am
Lal Tibba,Lal tibba is around 20 mins drive from mall road. Rs.1050 by cab return fare. There are two restaurants there with binoculars on their terraces. The view is nothing great. It was a little cloudy when we were there. In fact the valley views from the mall road are better. The only…
Lal Tibba,"Good area, was clean, saw many Himalayan peaks.. it was cold very cold up there as it was pretty high.. overall a good experience"
Lal Tibba,A peaceful and secluded place with great view of Himalayan snow peaks and some great food options. Approach road to Lal Tibba through winding raods of Landour is also a treat
Lal Tibba,"I rented a Scooty for the day and the ride upto Lal Tibba was heavenly. Winding, snow covered roads and slopes add to the serenity of the whole experience. A must visit!"
Lal Tibba,"During our walk we came across this little place, they had really nice Ginger Lemon tea.a few snacks"
Lal Tibba,"We went to lal tibba just at sunset.. It was freezing as this is highest point in mussoorie. The view, food was truely worth the visit."
Lal Tibba,First of all...Lal Tibba is not a place worth visiting You go all hyped and pumped...just to see a mediocre place of a little scenic beauty. Naah...
Lal Tibba,"Just stroll beyond the legendary Char Dukaan in Landour and you will reach Lal Tibba in about 5 -7 minutes. Situated between three levels, they serve delectable food and will give you a breathtaking view of the valley. I visited in winters, so were also selling basic winter…"
Lal Tibba,"A great telescopic view ,Poor upkeep! A place with such fabulous and amazing view looks shabby and dirty!although a walk near by is much better and serene"
Lal Tibba,Lal Tibba is basically the highest peak range of Mussorrie Ghats at 8000 feet. Yes when you reach the points you get the most mesmerising views of the mountains. The time when we reached it was the first snow of the season so we had experienced some lovely snow fall wherein we…
Lal Tibba,This is the highest point in Mussoorie and worth visiting. You get a cleat view of 200 degrees of the Himalayas and with a nice coffee shop. On way you can see the landour coffee shops also. Must visit if you are in Mussoorie.
Lal Tibba,Like all other places this place also had become a haven for tourists and hence very crowded. No clear sign posts along the road on how to reach there as well. May be better during off peak seasons
Lal Tibba,We were lucky to have snow fall The place is nice with a good view and has a cafe also to eat. Can go if you have time
